Samples ,Samples (s),Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W),Power (mW),Unix Time (ms),Time (s),T [Jedha] Rydberg Table,std,mean,c.v. (%)
0,0, 5/16/2024, 18:39:02.432,0.28743,908.2788,1.71588E+12,0,21.66,0.340146398,907.6993518,0.037473465
1,10, 5/16/2024, 18:39:12.934,0.28741,908.2156,1.71588E+12,60,21.63,,,
2,20, 5/16/2024, 18:39:22.186,0.28745,908.342,1.71588E+12,120,21.66,,,
3,30, 5/16/2024, 18:39:32.198,0.28743,908.2788,1.71588E+12,180,21.63,,,
4,40, 5/16/2024, 18:39:42.207,0.28737,908.0892,1.71588E+12,240,21.63,,,
5,50, 5/16/2024, 18:39:52.238,0.28739,908.1524,1.71588E+12,300,21.63,,,
6,60, 5/16/2024, 18:40:02.243,0.28743,908.2788,1.71588E+12,360,21.56,,,
7,70, 5/16/2024, 18:40:12.271,0.28736,908.0576,1.71588E+12,420,21.56,,,
8,80, 5/16/2024, 18:40:22.286,0.28736,908.0576,1.71588E+12,480,21.53,,,
9,90, 5/16/2024, 18:40:32.290,0.28736,908.0576,1.71588E+12,540,21.5,,,
10,100, 5/16/2024, 18:40:42.292,0.28734,907.9944,1.71588E+12,600,21.44,,,
11,110, 5/16/2024, 18:40:52.305,0.28735,908.026,1.71588E+12,660,21.44,,,
12,120, 5/16/2024, 18:41:02.323,0.28734,907.9944,1.71588E+12,720,21.38,,,
13,130, 5/16/2024, 18:41:12.335,0.2873,907.868,1.71588E+12,780,21.38,,,
14,140, 5/16/2024, 18:41:22.337,0.28732,907.9312,1.71588E+12,840,21.38,,,
15,150, 5/16/2024, 18:41:32.353,0.28734,907.9944,1.71588E+12,900,21.31,,,
16,160, 5/16/2024, 18:41:42.374,0.28733,907.9628,1.71588E+12,1020,21.31,,,
17,170, 5/16/2024, 18:41:52.390,0.28733,907.9628,1.71588E+12,1080,21.25,,,
18,180, 5/16/2024, 18:42:02.412,0.28733,907.9628,1.71588E+12,1140,21.25,,,
19,190, 5/16/2024, 18:42:12.430,0.28736,908.0576,1.71588E+12,1200,21.25,,,
20,200, 5/16/2024, 18:42:22.446,0.28732,907.9312,1.71588E+12,1260,21.25,,,
21,210, 5/16/2024, 18:42:32.450,0.28731,907.8996,1.71588E+12,1380,21.19,,,
22,220, 5/16/2024, 18:42:42.465,0.28731,907.8996,1.71588E+12,1440,21.22,,,
23,230, 5/16/2024, 18:42:52.485,0.28729,907.8364,1.71588E+12,1500,21.25,,,
24,240, 5/16/2024, 18:43:02.489,0.28725,907.71,1.71588E+12,1560,21.25,,,
25,250, 5/16/2024, 18:43:12.493,0.28723,907.6468,1.71588E+12,1620,21.22,,,
26,260, 5/16/2024, 18:43:22.517,0.28719,907.5204,1.71588E+12,1740,21.25,,,
27,270, 5/16/2024, 18:43:32.545,0.28719,907.5204,1.71588E+12,1800,21.25,,,
28,280, 5/16/2024, 18:43:42.552,0.28716,907.4256,1.71588E+12,1860,21.28,,,
29,290, 5/16/2024, 18:43:52.559,0.28717,907.4572,1.71588E+12,1920,21.31,,,
30,300, 5/16/2024, 18:44:02.587,0.28719,907.5204,1.71588E+12,1980,21.31,,,
31,310, 5/16/2024, 18:44:12.592,0.28718,907.4888,1.71588E+12,2040,21.31,,,
32,320, 5/16/2024, 18:44:22.622,0.28717,907.4572,1.71588E+12,2100,21.31,,,
